window_10min,SVM_Z_CURRENT_mean,SVM_Z_CURRENT_std,SVM_Z_CURRENT_min,SVM_Z_CURRENT_max,SVM_Z_CURRENT_median,SVM_Z_CURRENT_range,SVM_Z_CURRENT_cv,SVM_Z_CURRENT_skew,SVM_Z_CURRENT_kurt,SVM_Z_CURRENT_q25,SVM_Z_CURRENT_q75,SVM_Z_CURRENT_iqr,SVM_Z_EFFECTIVE_LOAD_RATIO_mean,SVM_Z_EFFECTIVE_LOAD_RATIO_std,SVM_Z_EFFECTIVE_LOAD_RATIO_min,SVM_Z_EFFECTIVE_LOAD_RATIO_max,SVM_Z_EFFECTIVE_LOAD_RATIO_median,SVM_Z_EFFECTIVE_LOAD_RATIO_range,SVM_Z_EFFECTIVE_LOAD_RATIO_cv,SVM_Z_EFFECTIVE_LOAD_RATIO_skew,SVM_Z_EFFECTIVE_LOAD_RATIO_kurt,SVM_Z_EFFECTIVE_LOAD_RATIO_q25,SVM_Z_EFFECTIVE_LOAD_RATIO_q75,SVM_Z_EFFECTIVE_LOAD_RATIO_iqr,SVM_Z_PEAK_LOAD_RATIO_mean,SVM_Z_PEAK_LOAD_RATIO_std,SVM_Z_PEAK_LOAD_RATIO_min,SVM_Z_PEAK_LOAD_RATIO_max,SVM_Z_PEAK_LOAD_RATIO_median,SVM_Z_PEAK_LOAD_RATIO_range,SVM_Z_PEAK_LOAD_RATIO_cv,SVM_Z_PEAK_LOAD_RATIO_skew,SVM_Z_PEAK_LOAD_RATIO_kurt,SVM_Z_PEAK_LOAD_RATIO_q25,SVM_Z_PEAK_LOAD_RATIO_q75,SVM_Z_PEAK_LOAD_RATIO_iqr,SVM_Z_POSITION_mean,SVM_Z_POSITION_std,SVM_Z_POSITION_min,SVM_Z_POSITION_max,SVM_Z_POSITION_median,SVM_Z_POSITION_range,SVM_Z_POSITION_cv,SVM_Z_POSITION_skew,SVM_Z_POSITION_kurt,SVM_Z_POSITION_q25,SVM_Z_POSITION_q75,SVM_Z_POSITION_iqr,n_samples,n_runs,SVM_Z_CURRENT_mean_diff,SVM_Z_CURRENT_mean_pct_change,SVM_Z_CURRENT_mean_ma3,SVM_Z_CURRENT_mean_ma_dev,SVM_Z_EFFECTIVE_LOAD_RATIO_mean_diff,SVM_Z_EFFECTIVE_LOAD_RATIO_mean_pct_change,SVM_Z_EFFECTIVE_LOAD_RATIO_mean_ma3,SVM_Z_EFFECTIVE_LOAD_RATIO_mean_ma_dev,SVM_Z_PEAK_LOAD_RATIO_mean_diff,SVM_Z_PEAK_LOAD_RATIO_mean_pct_change,SVM_Z_PEAK_LOAD_RATIO_mean_ma3,SVM_Z_PEAK_LOAD_RATIO_mean_ma_dev,SVM_Z_POSITION_mean_diff,SVM_Z_POSITION_mean_pct_change,SVM_Z_POSITION_mean_ma3,SVM_Z_POSITION_mean_ma_dev,anomaly_ensemble,anomaly_if,anomaly_score
0,11.284175084175082,31.575596038237634,-75.7,104.9,2.6,180.60000000000002,2.798219258625225,0.5803968971237006,1.8373710973973,2.4,12.049999999999999,9.649999999999999,36.81649831649832,9.768051850736757,2.0,45.0,40.0,43.0,0.2653172435565245,-2.407593904854146,4.929757276129639,37.0,42.0,5.0,94.54208754208754,31.731574643588555,2.0,108.0,106.0,106.0,0.3356343769060793,-2.465866783318247,4.262654073522372,105.0,107.0,2.0,1.5656565656565657,0.7504235947565048,1.0,3.0,1.0,2.0,0.4793028121347998,0.9018350270838028,-0.6606893257927355,1.0,2.0,1.0,600.0,2.0,0.0,0.0,11.284175084175082,0.0,0.0,0.0,36.81649831649832,0.0,0.0,0.0,94.54208754208754,0.0,0.0,0.0,1.5656565656565657,0.0,0,0,-0.16630188513245636
1,8.078523489932884,29.468188376953464,-75.5,105.9,2.6,181.4,3.6477195880751574,0.6069762869283064,2.7945072445947208,2.4,8.225,5.824999999999999,31.838926174496645,14.90860317376715,2.0,45.0,38.0,43.0,0.46825081637675064,-1.2894872938934498,-0.10426711574825331,32.0,41.0,9.0,83.74664429530202,42.5386970301494,2.0,108.0,107.0,106.0,0.5079450930613075,-1.358381606873638,-0.09656056372033905,88.25,107.0,18.75,1.4563758389261745,0.7051619657947361,1.0,3.0,1.0,2.0,0.48418955255030266,1.21976579872418,0.05187170575635136,1.0,2.0,1.0,600.0,2.0,-3.205651594242198,-0.2840838227277952,9.681349287053983,-1.602825797121099,-4.977572142001673,-0.13519949939864617,34.32771224549748,-2.4887860710008347,-10.795443246785524,-0.11418663927829698,89.14436591869477,-5.397721623392755,-0.10928072673039124,-0.06979865771812088,1.51101620229137,-0.05464036336519551,0,0,-0.12982211005005445
2,18.02680067001675,38.748277969731724,-77.2,106.3,2.7,183.5,2.149481690013923,0.0846304564052005,0.01376641381355137,2.4,55.7,53.300000000000004,39.85427135678392,3.9811471838398926,11.0,45.0,40.0,34.0,0.09989260995891296,-3.3849907968021675,18.469470259337694,38.0,42.0,4.0,105.2428810720268,10.480709528577233,2.0,109.0,107.0,107.0,0.09958592373962451,-7.024509215746127,58.802771118644806,107.0,108.0,1.0,1.5209380234505863,0.6914971049487211,1.0,3.0,1.0,2.0,0.4546517308969014,0.9609696921110413,-0.3485408398678769,1.0,2.0,1.0,600.0,2.0,9.948277180083867,1.2314474535453157,12.46316641470824,5.563634255308511,8.015345182287273,0.2517467184150093,36.16989861592629,3.6843727408576257,21.496236776724785,0.256681768656021,94.51053763647212,10.732343435554682,0.06456218452441176,0.04433071656284504,1.5143234760111088,0.006614547439477425,0,0,-0.12138415757700166
3,12.023825503355706,37.99901771569543,-75.6,107.0,2.6,182.6,3.1603101446449267,0.1309401860981418,0.5167519382144574,2.4,15.625,13.225,39.42785234899329,2.950544074882869,27.0,44.0,40.0,17.0,0.07483400436742797,-0.8178002752155459,1.2931277144921038,37.0,42.0,5.0,103.75,18.792173858266843,2.0,109.0,108.0,107.0,0.18112938658570452,-4.68169919605869,21.151596961418576,108.0,108.0,0.0,1.5536912751677852,0.7162951825626114,1.0,3.0,1.0,2.0,0.461028000871832,0.8958590951793197,-0.5383664787153171,1.0,2.0,1.0,600.0,2.0,-6.002975166661045,-0.33300280380009695,12.709716554435113,-0.6858910510794072,-0.4264190077906278,-0.010699455623544907,37.040349960091284,2.387502388902007,-1.4928810720268046,-0.01418510265796602,97.57984178910961,6.170158210890392,0.032753251717198895,0.021534902285426982,1.510335045848182,0.04335622931960326,0,0,-0.1835942510532258
4,14.519630872483223,37.77275707446272,-77.3,106.9,2.6,184.2,2.6014956858199128,0.1394804808153687,0.3989493102443036,2.4,20.0,17.6,39.79865771812081,2.731650446458662,27.0,45.0,40.0,18.0,0.06863674814879268,-0.7022130098630894,1.0464864183787634,38.0,42.0,4.0,104.58892617449665,12.06510956274029,2.0,109.0,107.0,107.0,0.11535742840127075,-6.4033668978276355,43.45803186623314,106.0,107.0,1.0,1.5469798657718121,0.7237676443136125,1.0,3.0,1.0,2.0,0.4678584772352636,0.9272913812463589,-0.5224192623197581,1.0,2.0,1.0,600.0,2.0,2.495805369127517,0.2075716558287517,14.856752348618562,-0.33712147613533894,0.3708053691275168,0.009404655517256,39.69359380796601,0.10506391015479721,0.838926174496649,0.00808603541683528,104.52726908217448,0.06165709232216443,-0.006711409395973034,-0.004319654427645703,1.540536388130061,0.0064434776417510164,0,0,-0.1826058828177527
5,8.194295302013423,28.622483393951335,-76.3,105.2,2.5,181.5,3.492976801424095,0.8533036405768687,3.3717054611131543,2.4,7.6,5.199999999999999,28.31711409395973,16.09692623908753,2.0,45.0,37.0,43.0,0.5684522153520275,-0.7901409403761774,-1.1195025675053374,12.0,41.0,29.0,75.89093959731544,46.47832983941969,2.0,109.0,105.0,107.0,0.6124358202183047,-0.9373008099054438,-1.0913838172679415,2.0,106.0,104.0,1.417785234899329,0.6968976589684766,1.0,3.0,1.0,2.0,0.4915396505860497,1.3684616720600085,0.39777387947570375,1.0,2.0,1.0,600.0,2.0,-6.3253355704698,-0.43564024636860543,11.579250559284118,-3.384955257270695,-11.481543624161077,-0.28849072512647556,35.84787472035794,-7.530760626398212,-28.69798657718121,-0.2743883853372905,94.74328859060404,-18.8523489932886,-0.12919463087248317,-0.08351409978308022,1.5061521252796422,-0.0883668903803132,0,0,-0.09401402164514755
6,2.7973154362416106,5.956485866132984,-67.5,75.8,2.6,143.3,2.129357951184776,2.8452259973379324,116.31052083490867,2.6,2.6,0.0,3.870805369127517,6.646797676346892,2.0,39.0,2.0,37.0,1.7171614283063492,3.849914880158433,13.928192372759558,2.0,2.0,0.0,8.796979865771812,25.72996273724659,2.0,108.0,2.0,106.0,2.9248632064464943,3.523347422667481,10.431627598018608,2.0,2.0,0.0,1.0218120805369129,0.17735897677797793,1.0,3.0,1.0,2.0,0.17357298876793897,8.97539540847126,86.0654235527622,1.0,1.0,0.0,600.0,2.0,-5.3969798657718115,-0.6586264793808101,8.503747203579419,-5.706431767337808,-24.446308724832214,-0.8633050897671387,23.99552572706935,-20.124720357941833,-67.09395973154362,-0.8840839247418806,63.09228187919464,-54.29530201342283,-0.3959731543624161,-0.2792899408284023,1.3288590604026846,-0.3070469798657718,1,1,0.13147897537717135
25,5.004697986577182,27.06493364769278,-75.6,103.5,2.4,179.1,5.407905476071106,0.253902767034576,3.7362119129312337,2.3,2.6,0.30000000000000027,20.30536912751678,16.81278139341744,2.0,43.0,19.0,41.0,0.8279968360995532,0.05740132549097977,-1.8278701137647213,2.0,37.0,35.0,56.86744966442953,50.950569693972206,2.0,108.0,103.0,106.0,0.8959531330247377,-0.12585502456682757,-1.969027841583693,2.0,105.0,103.0,1.2466442953020134,0.5480956927285324,1.0,3.0,1.0,2.0,0.43965684100431407,2.14329949939835,3.502439796176347,1.0,1.0,0.0,600.0,2.0,2.2073825503355713,0.7891074856046068,5.332102908277405,-0.3274049217002233,16.434563758389263,4.245773732119636,17.497762863534675,2.8076062639821053,48.07046979865772,5.464428762159069,47.18512304250559,9.682326621923941,0.2248322147651005,0.22003284072249563,1.2287472035794182,0.017897091722595126,1,1,0.001335428825676721
26,14.322315436241611,33.63392827839869,-75.4,104.0,2.4,179.4,2.3483582964029965,0.31494815517485986,0.6669486543587113,2.2,13.55,11.350000000000001,33.31375838926174,10.40332260928953,2.0,43.0,37.0,41.0,0.3122830659852209,-1.6899833443253502,1.827274595062561,32.75,40.0,7.25,88.70637583892618,37.01304825048812,2.0,107.0,105.0,105.0,0.41725352772496016,-1.868871797140996,1.5771666888085107,104.0,106.0,2.0,1.4312080536912752,0.661268872204638,1.0,3.0,1.0,2.0,0.46203546053219724,1.2485952041320267,0.29206209037735986,1.0,2.0,1.0,600.0,2.0,9.317617449664429,1.8617741719190022,7.374776286353469,6.947539149888143,13.008389261744963,0.6406379110890759,19.16331096196868,14.150447427293063,31.83892617449665,0.5598796211607118,51.45693512304251,37.249440715883665,0.18456375838926187,0.14804845222072682,1.233221476510067,0.19798657718120816,0,0,-0.07258650549644652
27,12.175838926174496,31.293555383476605,-76.3,103.6,2.5,179.89999999999998,2.5701354603340394,0.5078890645726359,1.278773490565709,2.3,10.8,8.5,28.095637583892618,14.564117795315608,2.0,43.0,36.0,41.0,0.5183764828908989,-0.7836068071325225,-1.025745870725705,14.0,39.0,25.0,79.52181208053692,43.92477749579824,2.0,107.0,105.0,105.0,0.5523613754087087,-1.1808506585761842,-0.5767396158467384,80.75,105.0,24.25,1.3708053691275168,0.6417570594856713,1.0,3.0,1.0,2.0,0.46816059663826204,1.5020087115836642,0.9651222662285748,1.0,2.0,1.0,600.0,2.0,-2.1464765100671155,-0.14986937828750846,10.500950782997762,1.6748881431767337,-5.218120805369125,-0.15663560815915378,27.23825503355705,0.8573825503355685,-9.18456375838926,-0.10353893586033402,75.03187919463087,4.489932885906043,-0.06040268456375841,-0.042203985932004695,1.3495525727069353,0.021252796420581532,0,0,-0.1037738760768806
