source,target,relation_type,method,confidence,verification_status,discovered_at,support,lift,count,avg_time_gap,pattern_type,full_pattern,statistic,p_value,optimal_lag,lag_seconds,direction_strength
PRESSURE_HIGH,RF_ADJUST,PRECEDES,pattern_mining,1.3209876543209877,auto,2025-12-24 23:27:56.610975,1.3209876543209877,30.483919136549783,107.0,41.149532710280376,sequential,PRESSURE_HIGH → RF_ADJUST,,,,,
RF_ADJUST,ETCH_RATE_OOS,PRECEDES,pattern_mining,1.1111111111111112,auto,2025-12-24 23:27:56.610979,1.1111111111111112,60.45802359004857,90.0,43.25555555555555,sequential,RF_ADJUST → ETCH_RATE_OOS,,,,,
RF_Power,Etch_Rate,INFLUENCES,transfer_entropy,1.0,auto,2025-12-24 23:27:56.572813,,,,,,,0.21007092906723468,0.0,2.0,2.0,0.0
Pressure,RF_Power,INFLUENCES,transfer_entropy,1.0,auto,2025-12-24 23:27:56.572816,,,,,,,0.15357851832212077,3.1636141351043534e-07,3.0,3.0,0.0
Pressure,Gas_Flow,INFLUENCES,transfer_entropy,1.0,auto,2025-12-24 23:27:56.572819,,,,,,,0.19030051126186676,0.0,18.0,18.0,0.0
Pressure,Temperature,INFLUENCES,transfer_entropy,1.0,auto,2025-12-24 23:27:56.572821,,,,,,,0.138232083199207,5.995204332975845e-15,5.0,5.0,0.0
Temperature,Etch_Rate,INFLUENCES,transfer_entropy,1.0,auto,2025-12-24 23:27:56.572831,,,,,,,0.29232590997661045,0.0,1.0,1.0,0.0
ALARM_TRIGGER,PRESSURE_HIGH,CO_OCCURS,pattern_mining,1.0,auto,2025-12-24 23:27:56.611115,0.4567901234567901,1.1571428571428573,37.0,0.0,co_occurrence,ALARM_TRIGGER → PRESSURE_HIGH,,,,,
ALARM_TRIGGER,TEMP_HIGH,CO_OCCURS,pattern_mining,0.972972972972973,auto,2025-12-24 23:27:56.611123,0.4444444444444444,1.2124740124740125,36.0,0.0,co_occurrence,ALARM_TRIGGER → TEMP_HIGH,,,,,
ETCH_RATE_OOS,RF_ADJUST,CO_OCCURS,pattern_mining,0.9672131147540983,auto,2025-12-24 23:27:56.611073,0.7283950617283951,1.2052963430012609,59.0,0.0,co_occurrence,ETCH_RATE_OOS → RF_ADJUST,,,,,
RF_ADJUST,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9538461538461539,auto,2025-12-24 23:27:56.611101,0.7654320987654321,1.1037362637362638,62.0,0.0,co_occurrence,RF_ADJUST → PRESSURE_HIGH,,,,,
TEMP_HIGH,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9538461538461539,auto,2025-12-24 23:27:56.611105,0.7654320987654321,1.1037362637362638,62.0,0.0,co_occurrence,TEMP_HIGH → PRESSURE_HIGH,,,,,
PM_END,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9285714285714286,auto,2025-12-24 23:27:56.611095,0.32098765432098764,1.0744897959183675,26.0,0.0,co_occurrence,PM_END → PRESSURE_HIGH,,,,,
ETCH_RATE_OOS,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9180327868852459,auto,2025-12-24 23:27:56.611069,0.691358024691358,1.0622950819672132,56.0,0.0,co_occurrence,ETCH_RATE_OOS → PRESSURE_HIGH,,,,,
RF_ADJUST,ETCH_RATE_OOS,CO_OCCURS,pattern_mining,0.9076923076923077,auto,2025-12-24 23:27:56.611071,0.7283950617283951,1.205296343001261,59.0,0.0,co_occurrence,RF_ADJUST → ETCH_RATE_OOS,,,,,
TEMP_HIGH,RF_ADJUST,CO_OCCURS,pattern_mining,0.9076923076923077,auto,2025-12-24 23:27:56.611109,0.7283950617283951,1.1311242603550296,59.0,0.0,co_occurrence,TEMP_HIGH → RF_ADJUST,,,,,
RF_ADJUST,TEMP_HIGH,CO_OCCURS,pattern_mining,0.9076923076923077,auto,2025-12-24 23:27:56.611111,0.7283950617283951,1.1311242603550296,59.0,0.0,co_occurrence,RF_ADJUST → TEMP_HIGH,,,,,
ALARM_TRIGGER,RF_ADJUST,CO_OCCURS,pattern_mining,0.8918918918918919,auto,2025-12-24 23:27:56.611119,0.4074074074074074,1.1114345114345114,33.0,0.0,co_occurrence,ALARM_TRIGGER → RF_ADJUST,,,,,
PRESSURE_HIGH,RF_ADJUST,CO_OCCURS,pattern_mining,0.8857142857142857,auto,2025-12-24 23:27:56.611103,0.7654320987654321,1.1037362637362638,62.0,0.0,co_occurrence,PRESSURE_HIGH → RF_ADJUST,,,,,
PRESSURE_HIGH,TEMP_HIGH,CO_OCCURS,pattern_mining,0.8857142857142857,auto,2025-12-24 23:27:56.611107,0.7654320987654321,1.1037362637362638,62.0,0.0,co_occurrence,PRESSURE_HIGH → TEMP_HIGH,,,,,
ETCH_RATE_OOS,TEMP_HIGH,CO_OCCURS,pattern_mining,0.8852459016393442,auto,2025-12-24 23:27:56.611078,0.6666666666666666,1.1031525851197983,54.0,0.0,co_occurrence,ETCH_RATE_OOS → TEMP_HIGH,,,,,
NORMAL,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.8727272727272727,auto,2025-12-24 23:27:56.611084,0.5925925925925926,1.0098701298701298,48.0,0.0,co_occurrence,NORMAL → PRESSURE_HIGH,,,,,
Etch_Rate,Temperature,INFLUENCES,transfer_entropy,0.8664469608067165,auto,2025-12-24 23:27:56.572834,,,,,,,0.12164382542254293,1.4760340183439524e-05,8.0,8.0,0.0
PM_END,TEMP_HIGH,CO_OCCURS,pattern_mining,0.8571428571428571,auto,2025-12-24 23:27:56.611099,0.2962962962962963,1.0681318681318681,24.0,0.0,co_occurrence,PM_END → TEMP_HIGH,,,,,
NORMAL,TEMP_HIGH,CO_OCCURS,pattern_mining,0.8545454545454545,auto,2025-12-24 23:27:56.611092,0.5802469135802469,1.0648951048951047,47.0,0.0,co_occurrence,NORMAL → TEMP_HIGH,,,,,
