source,target,relation_type,method,confidence,verification_status,discovered_at,support,lift,count,avg_time_gap,pattern_type,full_pattern
FLOW_RATE_HIGH,FLOW_RATE_HIGH,PRECEDES,pattern_mining,2.1382978723404253,auto,2025-12-24 23:38:12.395037,2.1382978723404253,159.33766902755957,603,33.09618573797678,sequential,FLOW_RATE_HIGH → FLOW_RATE_HIGH
CURRENT_LOW,CURRENT_LOW,PRECEDES,pattern_mining,2.127659574468085,auto,2025-12-24 23:38:12.395061,2.127659574468085,159.06833853929524,600,40.395,sequential,CURRENT_LOW → CURRENT_LOW
PRESSURE_HIGH,PRESSURE_HIGH,PRECEDES,pattern_mining,1.9361702127659575,auto,2025-12-24 23:38:12.395033,1.9361702127659575,139.94167846696612,546,24.467032967032967,sequential,PRESSURE_HIGH → PRESSURE_HIGH
VIBRATION_HIGH,VIBRATION_HIGH,PRECEDES,pattern_mining,1.9148936170212767,auto,2025-12-24 23:38:12.394986,1.9148936170212767,171.48637245813745,540,24.174074074074074,sequential,VIBRATION_HIGH → VIBRATION_HIGH
CURRENT_HIGH,CURRENT_HIGH,PRECEDES,pattern_mining,1.5673758865248226,auto,2025-12-24 23:38:12.395063,1.5673758865248226,126.17006587733106,442,22.361990950226243,sequential,CURRENT_HIGH → CURRENT_HIGH
PRESSURE_LOW,PRESSURE_LOW,PRECEDES,pattern_mining,1.5283687943262412,auto,2025-12-24 23:38:12.395182,1.5283687943262412,116.5595164752328,431,17.099767981438514,sequential,PRESSURE_LOW → PRESSURE_LOW
TEMPERATURE_LOW,TEMPERATURE_LOW,PRECEDES,pattern_mining,1.4432624113475176,auto,2025-12-24 23:38:12.394956,1.4432624113475176,477.1556678844423,407,7.933660933660934,sequential,TEMPERATURE_LOW → TEMPERATURE_LOW
VIBRATION_LOW,VIBRATION_LOW,PRECEDES,pattern_mining,1.4184397163120568,auto,2025-12-24 23:38:12.395184,1.4184397163120568,133.8641197275093,400,32.865,sequential,VIBRATION_LOW → VIBRATION_LOW
FLOW_RATE_LOW,FLOW_RATE_LOW,PRECEDES,pattern_mining,1.297872340425532,auto,2025-12-24 23:38:12.394947,1.297872340425532,124.78726037349983,366,29.278688524590162,sequential,FLOW_RATE_LOW → FLOW_RATE_LOW
TEMPERATURE_HIGH,TEMPERATURE_HIGH,PRECEDES,pattern_mining,1.1631205673758864,auto,2025-12-24 23:38:12.395399,1.1631205673758864,455.23692281451514,328,12.009146341463415,sequential,TEMPERATURE_HIGH → TEMPERATURE_HIGH
CURRENT_HIGH,PRESSURE_HIGH,PRECEDES,pattern_mining,1.074468085106383,auto,2025-12-24 23:38:12.394961,1.074468085106383,81.95715546207325,303,24.73267326732673,sequential,CURRENT_HIGH → PRESSURE_HIGH
PRESSURE_LOW,CURRENT_LOW,PRECEDES,pattern_mining,1.0212765957446808,auto,2025-12-24 23:38:12.395237,1.0212765957446808,77.11590657714017,288,30.729166666666668,sequential,PRESSURE_LOW → CURRENT_LOW
ANOMALY_END,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.967741935483871,auto,2025-12-24 23:38:12.395657,0.2127659574468085,1.0496277915632755,60,0.0,co_occurrence,ANOMALY_END → PRESSURE_HIGH
ANOMALY_START,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9672131147540983,auto,2025-12-24 23:38:12.395669,0.20921985815602837,1.0490542244640606,59,0.0,co_occurrence,ANOMALY_START → PRESSURE_HIGH
CURRENT_LOW,PRESSURE_LOW,PRECEDES,pattern_mining,0.9609929078014184,auto,2025-12-24 23:38:12.395225,0.9609929078014184,72.56392598057288,271,29.328413284132843,sequential,CURRENT_LOW → PRESSURE_LOW
VIBRATION_HIGH,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9583333333333334,auto,2025-12-24 23:38:12.395617,0.8156028368794326,1.039423076923077,230,0.0,co_occurrence,VIBRATION_HIGH → PRESSURE_HIGH
VIBRATION_LOW,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.957983193277311,auto,2025-12-24 23:38:12.395632,0.8085106382978723,1.0552783613445378,228,0.0,co_occurrence,VIBRATION_LOW → PRESSURE_LOW
FLOW_RATE_LOW,PRESSURE_LOW,PRECEDES,pattern_mining,0.9574468085106383,auto,2025-12-24 23:38:12.395129,0.9574468085106383,81.98673281473152,270,27.474074074074075,sequential,FLOW_RATE_LOW → PRESSURE_LOW
VIBRATION_LOW,CURRENT_LOW,CO_OCCURS,pattern_mining,0.9411764705882353,auto,2025-12-24 23:38:12.395563,0.7943262411347518,1.0408304498269896,224,0.0,co_occurrence,VIBRATION_LOW → CURRENT_LOW
CURRENT_HIGH,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9402390438247012,auto,2025-12-24 23:38:12.395524,0.8368794326241135,1.0197977321483298,236,0.0,co_occurrence,CURRENT_HIGH → PRESSURE_HIGH
FLOW_RATE_HIGH,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9390243902439024,auto,2025-12-24 23:38:12.395573,0.8191489361702128,1.0184803001876173,231,0.0,co_occurrence,FLOW_RATE_HIGH → PRESSURE_HIGH
FLOW_RATE_LOW,CURRENT_LOW,CO_OCCURS,pattern_mining,0.9365079365079365,auto,2025-12-24 23:38:12.395545,0.8368794326241135,1.0356676003734826,236,0.0,co_occurrence,FLOW_RATE_LOW → CURRENT_LOW
TEMPERATURE_HIGH,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9365079365079365,auto,2025-12-24 23:38:12.395694,0.20921985815602837,1.0157509157509157,59,0.0,co_occurrence,TEMPERATURE_HIGH → PRESSURE_HIGH
ANOMALY_END,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.9354838709677419,auto,2025-12-24 23:38:12.395655,0.20567375886524822,1.0468509984639016,58,0.0,co_occurrence,ANOMALY_END → FLOW_RATE_LOW
ANOMALY_START,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.9344262295081968,auto,2025-12-24 23:38:12.395667,0.20212765957446807,1.0456674473067917,57,0.0,co_occurrence,ANOMALY_START → FLOW_RATE_LOW
TEMPERATURE_LOW,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9322033898305084,auto,2025-12-24 23:38:12.395615,0.1950354609929078,1.0110821382007822,55,0.0,co_occurrence,TEMPERATURE_LOW → PRESSURE_HIGH
VIBRATION_LOW,PRESSURE_LOW,PRECEDES,pattern_mining,0.9290780141843972,auto,2025-12-24 23:38:12.395197,0.9290780141843972,78.82039780368606,262,28.568702290076335,sequential,VIBRATION_LOW → PRESSURE_LOW
FLOW_RATE_LOW,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.9285714285714286,auto,2025-12-24 23:38:12.395598,0.8297872340425532,1.0228794642857144,234,0.0,co_occurrence,FLOW_RATE_LOW → PRESSURE_LOW
VIBRATION_LOW,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.9285714285714286,auto,2025-12-24 23:38:12.395606,0.7836879432624113,1.0391156462585034,221,0.0,co_occurrence,VIBRATION_LOW → FLOW_RATE_LOW
PRESSURE_LOW,FLOW_RATE_LOW,PRECEDES,pattern_mining,0.925531914893617,auto,2025-12-24 23:38:12.395131,0.925531914893617,79.25384172090713,261,29.90038314176245,sequential,PRESSURE_LOW → FLOW_RATE_LOW
CURRENT_LOW,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.9254901960784314,auto,2025-12-24 23:38:12.395547,0.8368794326241135,1.0356676003734828,236,0.0,co_occurrence,CURRENT_LOW → FLOW_RATE_LOW
CURRENT_LOW,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.9254901960784314,auto,2025-12-24 23:38:12.395555,0.8368794326241135,1.019485294117647,236,0.0,co_occurrence,CURRENT_LOW → PRESSURE_LOW
PRESSURE_LOW,CURRENT_LOW,CO_OCCURS,pattern_mining,0.921875,auto,2025-12-24 23:38:12.395553,0.8368794326241135,1.019485294117647,236,0.0,co_occurrence,PRESSURE_LOW → CURRENT_LOW
